,,day0,初投稿,2/23,3/2,3/9,3/16,3/23,3/30,4/6,4/13,4/20,4/27,5/4,5/11,5/18,5/25,6/1,6/8,6/15,6/22,6/29,7/6,7/13,7/20,7/27,8/3,8/10,8/17,8/24,8/31,9/7,9/14,9/21,9/28,10/5,10/12,10/19,10/26,11/2,11/9,11/16,11/23,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/15,3/22,3/29,4/5,4/12,4/19,4/26,5/3,5/10,5/17,5/24,5/31,6/7,6/14,6/21,6/28,7/5,7/12,7/19,7/26,8/2,8/9,8/16
ゆぴ,,2/13,2/14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,,,,,,,,
週平均,15,0,186,245,272,"3,556","3,959","4,158","4,687","4,861","4,946","5,011","5,227","5,448","5,591","5,619","5,655","5,832","5,924","5,975","6,118","6,172","6,172","6,166","6,162","6,155","6,147","6,135","6,129","6,130","6,121","6,116","6,180","6,201","6,265","6,518","6,556","6,625","6,700","6,700","6,731","6,734","6,739","6,735","6,733","6,748","6,738","6,749","6,761","6,751","6,745","6,748","6,743","6,731","6,716","6,721","6,730","6,746","6,752","6,774","6,804","6,817","6,843","6,853","6,852","6,854","6,860","6,879","6,888","6,898","6,896","6,900","6,898",,,,,,,,
月平均,63,,186,59,27,"3,284",403,199,529,174,85,65,216,221,143,28,36,177,92,51,143,54,0,-6,-4,-7,-8,-12,-6,1,-9,-5,64,21,64,253,38,69,75,0,31,3,5,-4,-2,15,-10,11,12,-10,-6,3,-5,-12,-15,5,9,16,6,22,30,13,26,10,-1,2,6,19,9,10,-2,4,-2,,,,,,,,
みうらくん,,"45,757","45,758",,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,,,,,,,,
週平均,3,5,23,,,,,,,,,39,46,48,53,63,68,79,100,105,107,120,122,126,127,130,137,138,138,142,143,142,142,140,137,146,148,149,162,177,181,187,199,202,211,212,219,221,223,221,221,225,227,230,234,237,237,239,239,241,244,245,247,249,252,255,258,258,263,268,268,270,273,,,,,,,,
月平均,13,,18,,,,,,,,,16,7,2,5,10,5,11,21,5,2,13,2,4,1,3,7,1,0,4,1,-1,0,-2,-3,9,2,1,13,15,4,6,12,3,9,1,7,2,2,-2,0,4,2,3,4,3,0,2,0,2,3,1,2,2,3,3,3,0,5,5,0,2,3,,,,,,,,
綿久,木,"45,840","45,841",,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,
週平均,150,64,70,,,,,,,,,,,,,,,,,,,,77,86,123,164,221,253,289,314,336,356,391,411,455,487,523,569,623,689,770,955,"1,770","2,156","2,325","2,444","2,532","2,593","2,713","2,836","2,934","2,994","3,072","3,124","3,430","4,716","5,930","6,246","6,426","6,542","6,678","6,764","6,809","6,881","6,927","6,988","7,063","7,158","7,247","7,310","7,383","7,463","7,551",,,,,,,,
月平均,648,,6,,,,,,,,,,,,,,,,,,,,,16,37,41,57,32,36,25,22,20,35,20,44,32,36,46,54,66,81,185,815,386,169,119,88,61,120,123,98,60,78,52,306,"1,286","1,214",316,180,116,136,86,45,72,46,61,75,95,89,63,73,80,88,,,,,,,,
KINS,火・土,"45,905","45,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,
週平均,"1,156","13,895","13,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,923","13,940","13,980","14,529","15,119","15,296","15,403","16,770","18,355","20,285","22,548","24,116","25,030","25,967","26,953","28,313","30,425","31,503","32,741","33,790","34,668","35,431","37,901","42,743","44,452","45,629","46,196","47,302","48,444","49,188","50,061","51,979","52,996","54,434","55,980","56,965","57,676","58,556","59,273","59,901","60,571","61,321",,,,,,,,
月平均,"5,011",,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,40,549,590,177,107,"1,367","1,585","1,930","2,263","1,568",914,937,986,"1,360","2,112","1,078","1,238","1,049",878,763,"2,470","4,842","1,709","1,177",567,"1,106","1,142",744,873,"1,918","1,017","1,438","1,546",985,711,880,717,628,670,750,,,,,,,,
SUMISYOU,土,"45,930","45,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,
週平均,382,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,384,709,952,"1,588","2,015","2,213","4,426","6,860","7,842","8,272","8,611","8,770","9,032","9,349","9,809","10,009","10,226","10,457","10,657","10,823","11,378","11,722","11,952","12,172","12,329","12,530","12,701","12,955","13,163","13,366","13,553","13,692","13,793","13,873","13,966","14,065","14,151",,,,,,,,
月平均,"1,653",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,325,243,636,427,198,"2,213","2,434",982,430,339,159,262,317,460,200,217,231,200,166,555,344,230,220,157,201,171,254,208,203,187,139,101,80,93,99,86,,,,,,,,
天領盃,土,"45,982","45,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
週平均,302,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,36,880,"1,846","2,158","2,297","2,795","3,132","3,311","3,530","3,873","4,053","4,226","4,371","4,575","4,791","4,947","5,435","5,872","6,337","6,879","7,237","7,455","7,649","7,874","8,148","8,295","8,520","8,771","8,961","9,103",,,,,,,,
月平均,"1,310",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,844,966,312,139,498,337,179,219,343,180,173,145,204,216,156,488,437,465,542,358,218,194,225,274,147,225,251,190,142,,,,,,,,
BPP,木,"46,079","46,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,
週平均,237,0,"1,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,959","2,734","3,050","3,577","3,752","3,915","4,070","4,359","4,481","4,616","4,820","4,954","5,070","5,453","5,557","5,675","5,743",,,,,,,,
月平均,"1,025",,"1,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,316,527,175,163,155,289,122,135,204,134,116,383,104,118,68,,,,,,,,
iStory,土,"46,108","46,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,
週平均,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,12,12,16,17,17,18,22,27,29,29,34,,,,,,,,
月平均,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,0,4,1,0,1,4,5,2,0,5,,,,,,,,
Ronin Pop,土,"46,129","46,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,,,,,,,
週平均,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,4,5,5,5,5,5,,,,,,,,
月平均,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,-1,1,0,0,0,0,,,,,,,,
Actvision,土,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
週平均,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,,,,,,,,
月平均,30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
千勝会,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
週平均,#DIV/0!,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,
月平均,#DIV/0!,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,